Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
STATE STR SPDR S&AMP;P 500 ETF T,16.29895102362028,Add 21.89%,5320308.0,746.7699999699265,3973046405.0,,,,,
ISHARES TR,10.233840435911842,Add 7.47%,5446707.0,458.00330364750664,2494609800.0,,47.154300689697266,-89.70437542389679,47.01459884643555,47.33190155029297
NVIDIA CORPORATION,3.1735486213011894,Reduce 17.62%,3866195.0,200.0900001163935,773586958.0,,214.72000122070312,7.311710278274412,163.85179338392152,236.26463268418732
ALPHABET INC,2.0459625271932445,Reduce 41.44%,1396383.0,357.1553048125049,498725596.0,,341.75,-4.313335012787273,201.55445158058532,404.2267181336527
BROADCOM INC,2.042351680969357,Reduce 28.19%,1317923.0,377.7499998103076,497845413.0,,368.45001220703125,-2.461942450813095,285.08119233248743,494.21781760890264
ISHARES INC,2.036767388354032,Reduce 12.78%,3816595.0,130.08563418439735,496484181.0,,82.05000305175781,-36.926161319664764,81.16999816894531,88.82732930305437
AMAZON COM INC,1.9804374316027669,Reduce 53.85%,2025481.0,238.34000022710654,482753142.0,,258.6300048828125,8.513050531330142,196.0,287.20001220703125
LAM RESEARCH CORP,1.6678666015549297,Reduce 40.29%,938224.0,433.3300000852675,406560606.0,,314.0,-27.537904151982694,93.59202219842275,438.5
VANGUARD INDEX FDS,1.2915143479349964,Add 188.97%,458381.0,686.8100008508206,314820655.0,,,,,
ADVANCED MICRO DEVICES INC,1.2836216125788424,Reduce 58.33%,538632.0,580.9099997772133,312896715.0,,473.25,-18.532991309927933,149.22000122070312,584.72998046875
MICROSOFT CORP,1.0893932693961437,Reduce 34.39%,711896.0,373.02000011237595,265551446.0,,483.239990234375,29.54801085432261,348.54386902384044,549.2013167264516
NEWMONT CORP,1.0326878257926826,Add 16.34%,2695170.0,93.4,251728878.0,,131.5800018310547,40.87794628592578,68.32355348582931,134.2940212296047
APPLIED MATLS INC,0.8643758207072626,Reduce 47.95%,291426.0,723.0,210700998.0,,,,,
ORACLE CORP,0.8615054501941826,Reduce 9.99%,1432967.0,146.5500001046779,210001314.0,,146.47000122070312,-0.05458811594516511,114.5,341.8240176765686
SEAGATE TECHNOLOGY HLDNGS PL,0.7910549126197248,Reduce 39.29%,199822.0,965.0,192828230.0,,,,,
JOHNSON &AMP; JOHNSON,0.6971595534453495,Reduce 3.98%,669135.0,253.97000007472334,169940216.0,,,,,
VANGUARD INTL EQUITY INDEX F,0.6726166884836703,Add 0.92%,2746819.0,59.689999959953674,163957626.0,,,,,
GE VERNOVA INC,0.5917078273515629,Reduce 71.77%,122768.0,1174.8599960901863,144235212.0,,956.8499755859375,-18.556255318060348,529.1793363286614,1195.93994140625
UNION PAC CORP,0.5738425313999737,Reduce 3.49%,514266.0,272.0,139880352.0,,308.04998779296875,13.2536719827091,207.4463147167709,315.989990234375
MICRON TECHNOLOGY INC,0.5524529002400124,Reduce 92.09%,116666.0,1154.289998799993,134666397.0,,966.780029296875,-16.244615278487608,114.06691350045408,1254.8069810301963
ALTRIA GROUP INC,0.5098160069585215,Add 1.27%,1727216.0,71.94999988420672,124273191.0,,66.08999633789062,-8.14454976476294,53.00584558458877,77.05999755859375
AMPHENOL CORP,0.5046049859095245,Reduce 19.17%,697612.0,176.32000022935387,123002948.0,,157.00999450683594,-10.951681997164146,104.7360916344302,178.52000427246094
ASML HLDG NV,0.5033568938516564,Reduce 33.10%,61675.0,1989.44,122698712.0,,1763.760009765625,-11.343895278790768,711.513523411658,1997.3767930992992
BARRICK MNG CORP,0.4979767070099911,Add 7.33%,3304836.0,36.73018358550924,121387233.0,,,,,
CELESTICA INC,0.49489190092729785,Reduce 37.09%,330689.0,364.79979073993997,120635278.0,,296.54998779296875,-18.708838294160486,179.00999450683594,474.0299987792969
VISTRA CORP,0.4891735917217389,Add 115.69%,751695.0,158.63000019954902,119241378.0,,136.2100067138672,-14.13351412562475,132.47448547608124,218.90834935343653
SHELL PLC,0.4854703762819306,Add 388.91%,1526163.0,77.53999998689524,118338679.0,,93.33000183105469,20.36368564202742,66.7934455566561,94.69999694824219
SEA LTD,0.4735512891207315,Reduce 9.98%,1204563.0,95.82999975924879,115433272.0,,20.25,-78.86883016709429,12.531319886689994,20.388700485229492
NUCOR CORP,0.4691687193481587,Reduce 16.99%,513423.0,222.74999951307205,114364973.0,,243.6300048828125,9.373739804886107,130.10937369852297,280.1099853515625
