Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
ICAHN ENTERPRISES LP,53.95168396948314,Add 12.56%,618393343.0,7.209999999951487,4458616003.0,,,,,
CVR ENERGY INC,23.72795446840776,,71201875.0,27.539999992977712,1960899637.0,,39.5099983215332,43.464046229512206,19.498722811525486,41.41242552055982
"CVR PARTNERS, LP",5.61747556607265,,4164274.0,111.4800001152662,464233266.0,,125.9000015258789,12.935056867333122,74.14636287979815,128.5907357305074
"CENTURI HOLDINGS, INC.",5.245852156248009,,14336044.0,30.24000003069187,433521971.0,,,,,
INTERNATIONAL FLAVORS AND FRAGRANCES INC.,4.098037152128122,,4275000.0,79.22,338665500.0,,,,,
ECHOSTAR CORPORATION,1.7250659654408855,,1404542.0,101.5,142561013.0,,86.80999755859375,-14.47290880926724,27.399999618530273,147.25
JETBLUE AIRWAYS CORP.,1.4323580512811482,Reduce 38.56%,20658179.0,5.730000015974302,118371366.0,,4.889999866485596,-14.659688431883483,3.869999885559082,6.619999885559082
"MONRO, INC.",1.0514694113905534,,5078573.0,17.109999994092828,86894384.0,,12.550000190734863,-26.651080098961366,11.0600004196167,23.193657359291198
"CAESARS ENTERTAINMENT, INC.",0.8911142705567109,,2440109.0,30.18000015573075,73642490.0,,29.760000228881836,-1.3916498498399146,17.860000610351562,30.8799991607666
"SANDRIDGE ENERGY, INC.",0.8379896104780387,Add 2.17%,5054907.0,13.6999988328173,69252220.0,,14.359999656677246,4.817524672184382,10.603259314257208,17.7761621086957
AMERICAN ELECTRIC POWER COMPANY,0.7196517852761541,Reduce 63.93%,434710.0,136.8099997699616,59472675.0,,120.94000244140625,-11.600027304465947,102.51961940711924,139.51778685967835
BAUSCH PLUS LOMB CORP.,0.701347593236825,,3500000.0,16.56,57960000.0,,,,,
