Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
NATERA INC,16.598482092001774,Add 4.01%,3186306.0,0.2714500741611132,864923.0,,332.0299987792969,122217.15161817483,157.4250030517578,333.55999755859375
INSMED INC,5.6773205784232,Add 140.42%,2774690.0,0.10661983861260177,295837.0,,125.7699966430664,117861.1583356882,90.38999938964844,212.75
TAIWAN SEMICONDUCTOR MANUFAC,5.404351991304308,Add 19.06%,589680.0,0.4775691900691901,281613.0,,418.95001220703125,87625.51096655417,223.16196493273623,479.0
ISHARES INC,5.0742910569779704,,7664170.0,0.03450001761443183,264414.0,,82.05000305175781,237725.97437699614,81.16999816894531,88.82732930305437
AMAZON COM INC,4.578038617839372,Add 307.20%,1000900.0,0.23834049355579978,238555.0,,258.6300048828125,108412.8259257643,196.0,287.20001220703125
STMICROELECTRONICS N V,4.459440061287435,Add 18.75%,3102880.0,0.0748901020986954,232375.0,,50.560001373291016,67412.26124202572,20.954763399178773,81.3282971605794
INVESCO EXCHANGE TRADED FD T,3.656097961640084,Add 9.06%,895400.0,0.21276971186062096,190514.0,,,,,
FOX CORP,2.7754173210697055,Buy 100%,2837200.0,0.05097384745523756,144623.0,,61.04999923706055,119667.2969274515,44.08000183105469,67.81057137405583
YPF SOCIEDAD ANONIMA,2.739012553791546,Reduce 3.00%,3138897.0,0.04547011259050552,142726.0,,51.18000030517578,112457.45233378316,22.81999969482422,57.4900016784668
CDW CORP,2.68264945337196,Buy 100%,993950.0,0.14063987122088636,139789.0,,137.25,97489.67980313186,96.54753314386257,168.92967258555527
BBB FOODS INC,2.3204440882649604,Reduce 6.67%,2901733.0,0.04166992621305957,120915.0,,50.65999984741211,121474.48896930132,23.809999465942383,51.029998779296875
ALPHABET INC,2.306415682951131,Buy 100%,336300.0,0.3573713945881653,120184.0,,341.75,95528.80666311656,201.55446650056933,404.2267181336527
SEAGATE TECHNOLOGY HLDNGS PL,2.2593216930193427,Add 140.63%,122000.0,0.965,117730.0,,,,,
UNITED AIRLS HLDGS INC,2.0742081531326138,Add 202.78%,794795.0,0.1359897835290861,108084.0,,,,,
SEA LTD,2.022777063883554,,1099905.0,0.09583009441724513,105404.0,,20.25,21031.14896019126,12.531319886689994,20.388700485229492
NEWAMSTERDAM PHARMA COMPANY,1.9967352772749813,,3070146.0,0.03388991924162564,104047.0,,27.8700008392334,82136.84642187574,23.049999237060547,42.20500183105469
ISHARES TR,1.902739204460841,Add 317.72%,330000.0,0.30045151515151514,99149.0,,47.154300689697266,15594.479245983417,47.01459884643555,47.33190155029297
SANDISK CORP,1.5228400093957692,Reduce 8.53%,34900.0,2.273724928366762,79353.0,,1596.0799560546875,70096.70392588635,45.630001068115234,2354.389892578125
REVOLUTION MEDICINES INC,1.436136404460227,Add 26.51%,399587.0,0.1872808674956893,74835.0,,209.4600067138672,111742.7149098337,35.619998931884766,220.33999633789062
STATE STR SPDR S&AMP;P 500 ETF T,1.28978808855973,,90000.0,0.7467666666666667,67209.0,,,,,
BITDEER TECHNOLOGIES GROUP,1.2410628887077286,Buy 100%,4074993.0,0.015869965911597884,64670.0,,11.369999885559082,71544.76564659666,6.915999889373779,27.799999237060547
CRH PLC,1.1366654538141143,Add 46.62%,553555.0,0.10699930449548825,59230.0,,95.06999969482422,88751.0445400446,92.5199966430664,130.0918198567199
DELTA AIR LINES INC,1.0838334431041656,Buy 100%,603000.0,0.09366003316749585,56477.0,,82.41000366210938,87888.4416811303,54.60085475270637,95.44433663676071
TESLA INC,1.0170305991952187,Buy 100%,126000.0,0.4206031746031746,52996.0,,362.8599853515625,86171.33775057906,297.3800048828125,498.8299865722656
FLUOR CORP,0.9874961042868965,Buy 100%,982200.0,0.052389533699857466,51457.0,,52.41999816894531,99958.14991456571,39.33000183105469,57.93000030517578
