Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
REGENERON PHARMACEUTICALS,0.013727504901344662,Add 51.58%,46277.0,623.5399874667761,28855560.0,,,,,
EVERPURE INC,0.013706822465253107,Reduce 42.72%,365682.0,78.79000060161562,28812085.0,,,,,
COLUMBIA BKG SYS INC,0.013687580544779386,Buy 100%,897711.0,32.05000050127491,28771638.0,,,,,
HALLIBURTON CO,0.013647090543210942,Add 39.89%,844964.0,33.9499990532141,28686527.0,,,,,
HONDA MOTOR CO LTD,0.013611224178131832,Add 38.07%,1055372.0,27.110000075802656,28611135.0,,,,,
VALERO ENERGY CORP,0.013599959802702833,Add 965.69%,109766.0,260.43999963558844,28587457.0,,,,,
ESSENT GROUP LTD,0.013568422596184576,Add 34.71%,443702.0,64.28000099165656,28521165.0,,,,,
VNET GROUP INC,0.013506981370108438,Add 27.16%,3531345.0,8.040000056635645,28392014.0,,,,,
VANGUARD WORLD FD,0.013502075148983373,"Add 6,009.69%",230030.0,123.38260661652828,28381701.0,,,,,
EOG RES INC,0.013494289323817778,Add 95.47%,218649.0,129.73000105191426,28365335.0,,,,,
PBF ENERGY INC,0.013492360707465501,Reduce 53.75%,623051.0,45.51999916539737,28361281.0,,,,,
EVOLV TECHNOLOGIES HLDNGS IN,0.013371381657884871,Add 186.96%,4846031.0,5.800000041270888,28106980.0,,,,,
CHUBB LIMITED,0.01333814228330829,Buy 100%,82283.0,340.7400070488436,28037110.0,,,,,
MUELLER INDS INC,0.013336693204519679,Reduce 33.09%,228049.0,122.93000188555968,28034064.0,,,,,
WABASH NATL CORP,0.013284811331423962,Reduce 8.59%,2068519.0,13.500000241718833,27925007.0,,,,,
ACV AUCTIONS INC,0.013274408030390032,Reduce 31.42%,3880826.0,7.190000015460626,27903139.0,,,,,
FEDERAL RLTY INVT TR NEW,0.013265119844484304,Buy 100%,225888.0,123.44000123955234,27883615.0,,,,,
INVESCO EXCHANGE TRADED FD T,0.013221958609364301,Add 175.76%,417337.0,66.59579428615244,27792889.0,,,,,
HILTON GRAND VACATIONS INC,0.013179368252296276,Add 194.27%,528993.0,52.36999922494248,27703363.0,,,,,
BITMINE IMMERSION TECHS INC,0.013108489936289186,Buy 100%,2070201.0,13.309999850256085,27554375.0,,,,,
GXO LOGISTICS INCORPORATED,0.013004973570586938,Add 84.92%,539187.0,50.70000018546441,27336781.0,,,,,
ALUMIS INC,0.012961836122052432,Add 69.23%,968234.0,28.140000247873964,27246105.0,,,,,
TEXAS PACIFIC LAND CORPORATI,0.012955821446043105,Add 24.15%,62228.0,437.6400012855949,27233462.0,,,,,
BROOKFIELD INFRASTRUCTURE CO,0.012942628929993538,Reduce 35.18%,706616.0,38.50143642374359,27205731.0,,,,,
INTER &AMP; CO INC,0.012901882509033414,Add 113.34%,4994490.0,5.430000060066193,27120081.0,,,,,
SYNDAX PHARMACEUTICALS INC,0.012894895913140591,Reduce 22.59%,1239954.0,21.860000451629656,27105395.0,,,,,
CLEARWAY ENERGY INC,0.012874469896440718,Reduce 6.05%,791763.0,34.179999570578566,27062459.0,,,,,
UFP INDUSTRIES INC,0.012859111849647305,Reduce 11.28%,297886.0,90.740001208516,27030176.0,,,,,
OCEANAGOLD CORP,0.012812500132434786,Buy 100%,1075544.0,25.04053483632469,26932197.0,,,,,
DUKE ENERGY CORP NEW,0.012808153371800664,Reduce 99.81%,212696.0,126.58000150449467,26923060.0,,,,,
ORMAT TECHNOLOGIES INC,0.012796840471737247,Add 49.20%,247009.0,108.89999959515646,26899280.0,,,,,
BAIDU INC,0.012766399351078794,Reduce 66.70%,234800.0,114.29,26835292.0,,,,,
AXCELIS TECHNOLOGIES INC,0.012766001639369246,Reduce 73.98%,141644.0,189.45000141199063,26834456.0,,,,,
COTY INC,0.012755992719922893,Reduce 3.12%,12413619.0,2.159999996777733,26813417.0,,,,,
GE HEALTHCARE TECHNOLOGIES I,0.01273147350759032,Reduce 12.97%,418089.0,64.01000026310187,26761877.0,,,,,
DEERE &AMP; CO,0.01265023613359833,Reduce 81.20%,41920.0,634.3300095419847,26591114.0,,,,,
BEST BUY INC,0.012639861376467,Add 437.54%,350149.0,75.87999965728875,26569306.0,,,,,
OMADA HEALTH INC,0.012552263469512524,Add 675.56%,1202058.0,21.94999991680934,26385173.0,,,,,
QNITY ELECTRONICS INC,0.012523754295328315,Reduce 83.22%,161198.0,163.31000384620157,26325246.0,,,,,
INTERCONTINENTAL HOTELS GROU,0.012501552372155073,Add 38.08%,151794.0,173.11999815539482,26278577.0,,,,,
MYRIAD GENETICS INC,0.012446898886116987,Add 1.83%,4582083.0,5.710000015276894,26163694.0,,,,,
CENCORA INC,0.012388910045060203,Reduce 31.51%,92027.0,282.979995001467,26041800.0,,,,,
ANTERO RESOURCES CORP,0.012375835510474715,Reduce 70.92%,740305.0,35.13999905444378,26014317.0,,,,,
DOLLAR GEN CORP,0.012278891854077602,Add 17.48%,224225.0,115.10999665514551,25810539.0,,,,,
WHEATON PRECIOUS METALS CORP,0.012200845212664475,Add 811.38%,228319.0,112.32741471362436,25646483.0,,,,,
GREEN PLAINS INC,0.012182321647072829,Add 41.30%,1664990.0,15.379999879879158,25607546.0,,,,,
COMCAST CORP NEW,0.012176164251550508,Add 13.54%,1042550.0,24.550000479593304,25594603.0,,,,,
BROOKFIELD ASSET MANAGMT LTD,0.012099753175756303,Reduce 71.03%,567472.0,44.8198060873488,25433985.0,,,,,
HIMAX TECHNOLOGIES INC,0.012081915615290456,Add 299.79%,1655573.0,15.340000108723686,25396490.0,,,,,
CABLE ONE INC,0.012064568058485891,Add 21.70%,477500.0,53.11,25360025.0,,,,,
COPA HOLDINGS SA,0.012012643369536273,Add 476.41%,162312.0,155.57000098575583,25250878.0,,,,,
KOREA ELEC PWR CORP,0.012003459844606743,"Add 2,019.72%",2085254.0,12.100000287734732,25231574.0,,,,,
HAYWARD HLDGS INC,0.01199702081591211,Add 81.96%,1456848.0,17.31000008236961,25218039.0,,,,,
BROWN FORMAN CORP,0.011989504730626072,Reduce 38.63%,944738.0,26.67643304281187,25202240.0,,,,,
KODIAK GAS SVCS INC,0.011966686259156692,Add 77.91%,334810.0,75.12999910396941,25154275.0,,,,,
VERTEX INC,0.011959521263872622,Add 33.61%,2189827.0,11.480000018266283,25139214.0,,,,,
COUPANG INC,0.011957350500079967,Reduce 78.39%,1447015.0,17.370000310985027,25134651.0,,,,,
