Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
GE AEROSPACE,33.58990401158545,Reduce 0.17%,47428233.0,373.7299999981024,17725353519.0,,348.3699951171875,-6.785648698537361,265.0240933710656,388.8399963378906
VISA INC,19.82614176393843,Add 0.09%,30494133.0,343.0900000009838,10462232091.0,,371.0400085449219,8.146552958074532,292.7381694353985,373.27653822285373
MOODYS CORP,12.302788952597805,,14334027.0,452.92000001116224,6492167509.0,,503.32000732421875,11.127794602096262,399.6123519596385,543.2534871990895
S&AMP;P GLOBAL INC,10.86797493031446,Add 0.33%,14081957.0,407.2600000127823,5735017808.0,,,,,
ALPHABET INC,8.318648138825335,Add 9.59%,12395819.0,354.1307764335701,4389741007.0,,341.75,-3.496102925099066,201.55445158058532,404.2267181336527
CANADIAN PACIFIC KANSAS CITY,7.439682031127624,Reduce 2.57%,45325726.0,86.6155262024926,3925911608.0,,96.69000244140625,11.631259060138026,68.12897951970848,96.9000015258789
FERROVIAL NV,2.7186186878152094,Buy 100%,20940441.0,68.50915599150945,1434611939.0,,62.834999084472656,-8.28233368944146,52.129608058598976,74.06435079614745
CANADIAN NATL RY CO,2.131016445569737,Reduce 4.23%,9433422.0,119.20752776670014,1124534915.0,,,,,
MARTIN MARIETTA MATLS INC,1.4372276318910533,Buy 100%,1315109.0,576.6999997718821,758423360.0,,,,,
VULCAN MATLS CO,1.367997406334891,Buy 100%,2447004.0,295.0099999836535,721890650.0,,,,,
