Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
UBER TECHNOLOGIES INC,12.72484170490431,Buy 100%,34326200.0,72.16,2476978592.0,,78.80000305175781,9.201778065074578,65.41000366210938,101.98999786376953
BROOKFIELD CORP,12.576576753134836,Buy 100%,57481047.0,42.5900000046972,2448117792.0,,33.25,-21.930030532207336,31.81999969482422,44.33748852381078
MICROSOFT CORP,11.89392256478176,Buy 100%,6206730.0,373.02000006444615,2315234425.0,,483.239990234375,29.54801087096839,348.54386902384044,549.2013167264516
AMAZON COM INC,10.485677036555256,Buy 100%,8563857.0,238.33999995562746,2041109677.0,,258.6300048828125,8.513050654930979,196.0,287.20001220703125
HOWARD HUGHES HOLDINGS INC,10.228991479122271,Add 209.47%,27852064.0,71.48999998707457,1991144055.0,,66.5,-6.979997185587863,61.0099983215332,91.06999969482422
RESTAURANT BRANDS INTL INC,9.618467346269693,Buy 100%,25821284.0,72.51000000619644,1872301303.0,,,,,
META PLATFORMS INC,9.24862929404504,Buy 100%,3196062.0,563.2900000062577,1800309764.0,,549.9000244140625,-2.3771015981193506,519.7782492802263,788.2165669565625
VISA INC,5.764323752268456,Buy 100%,3270470.0,343.08999990827004,1122065552.0,,371.0400085449219,8.146552987299152,292.7381694353985,373.27653822285373
MASTERCARD INCORPORATED,5.605853327602288,Buy 100%,2124646.0,513.6000001882667,1091218186.0,,580.6300048828125,13.051013370322256,463.74259988972767,598.0433279933587
S&AMP;P GLOBAL INC,5.425382581395239,Buy 100%,2593155.0,407.2599998843108,1056088305.0,,,,,
NETFLIX INC.,4.798270536476953,Buy 100%,13081465.0,71.4,934016601.0,,79.58999633789062,11.470583106289382,65.08000183105469,126.70999908447266
PERSHING SQUARE USA LTD,0.7681206199610515,Buy 100%,4000000.0,37.38,149520000.0,,39.68000030517578,6.153023823370194,35.709999084472656,44.0
SEAPORT ENTMT GROUP INC,0.686502913434557,Buy 100%,5023780.0,26.6,133632548.0,,,,,
HERTZ GLOBAL HLDGS INC,0.17444009004828856,Buy 100%,14991599.0,2.2650000176765666,33955972.0,,,,,
