Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
AMAZON COM INC,16.475890316816205,Add 20.04%,3743854.0,0.23833995663292426,892310.0,,258.6300048828125,108413.07037918853,196.0,287.20001220703125
ELEVANCE HEALTH INC FORMERLY,9.105490861734983,,1275154.0,0.38672975969961276,493140.0,,,,,
RESTAURANT BRANDS INTL INC,9.040348768698117,Reduce 16.42%,6753112.0,0.07250168514900981,489612.0,,,,,
ALPHABET INC,8.950464497466973,Add 16.15%,1371931.0,0.3533297228504932,484744.0,,341.75,96622.68645924448,201.55445158058532,404.2267181336527
FERGUSON ENTERPRISES INC,6.356690257287263,Add 0.57%,1450594.0,0.23732967322352086,344269.0,,242.24000549316406,101968.99213357893,203.73603413594057,268.5917557557419
GENUINE PARTS CO,6.13482308327054,Add 88.96%,2816178.0,0.11798011347294099,332253.0,,133.9600067138672,113444.56507163066,89.80160515233308,148.57548027485265
UNION PAC CORP,5.953392752720578,Reduce 23.08%,1185395.0,0.2719996288157112,322427.0,,308.04998779296875,113153.82653433061,207.4463147167709,315.989990234375
VISA INC,4.443030488456758,,701355.0,0.34309016118798613,240628.0,,371.0400085449219,108046.5021498012,292.7381694353985,373.27653822285373
WESCO INTL INC,4.227939716975331,Reduce 53.87%,662881.0,0.3454300243935186,228979.0,,349.1400146484375,100974.02078363993,202.37870046974933,385.3699951171875
AON PLC,4.207481259184841,Reduce 10.66%,687000.0,0.33168995633187776,227871.0,,355.1099853515625,106960.8194708951,303.09769804317364,381.4704441876246
TELEFLEX INCORPORATED,3.2978184599914364,Reduce 11.66%,1409000.0,0.12676011355571326,178605.0,,138.8300018310547,109421.8345398819,99.38619361948685,144.64111193935156
NORWEGIAN CRUISE LINE HLDGS,3.013006446075992,Add 112.95%,7730000.0,0.021109961190168176,163180.0,,,,,
MOLINA HEALTHCARE INC,2.675589607029585,,633609.0,0.22869940294408697,144906.0,,200.2899932861328,87477.83829243325,121.05999755859375,244.88999938964844
CME GROUP INC,2.5239606761852658,Buy 100%,619000.0,0.22083037156704363,136694.0,,274.9800109863281,124420.92030413705,218.30999755859375,319.81669858888057
HERBALIFE LTD,2.248343889688291,,9259844.0,0.013150005550849452,121767.0,,12.649999618530273,96097.67512351446,7.559999942779541,20.399999618530273
EAGLE MATLS INC,2.2050450778483093,Reduce 40.55%,530763.0,0.22500061232602875,119422.0,,,,,
GDS HLDGS LTD,2.0903078425503794,Add 23.81%,3769818.0,0.03003009694367208,113208.0,,,,,
AMERICOLD REALTY TRUST INC,1.9825316529086,Reduce 12.22%,6830230.0,0.015719968434445106,107371.0,,15.25,96910.37291261142,9.588037914483149,16.8799991607666
LIBERTY GLOBAL LTD,1.7351837282141889,Reduce 36.23%,8543161.0,0.01100002680506665,93975.0,,10.649999618530273,96717.94242196616,9.430000305175781,13.520000457763672
GRUPO AEROMEXICO SAB DE CV,1.6219605665072518,,4880188.0,0.017999921314506735,87843.0,,,,,
AXALTA COATING SYS LTD,0.8051917214148907,Buy 100%,1274356.0,0.034219637212835344,43608.0,,36.20000076293945,105687.21375035882,24.937000274658203,38.61000061035156
DNOW INC,0.6676695250037252,Reduce 23.09%,2788000.0,0.01296987087517934,36160.0,,15.680000305175781,120795.57757419822,10.9350004196167,17.260000228881836
PERSHING SQUARE INC,0.2378388039704918,Buy 100%,392000.0,0.03285969387755102,12881.0,,40.060001373291016,121812.27807103549,21.93334547472773,54.74865728536576
