Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
NVIDIA CORPORATION,1.9538842593845356,Add 180.63%,7091256.0,200.08714535196586,1418869170.0,,214.72000122070312,7.313241359407249,163.8517783946414,236.26463268418732
ALPHABET INC,1.9071852787091697,Add 423.66%,3893253.0,355.7326903748613,1384957364.0,,341.75,-3.9306734391283333,201.55445158058532,404.2267181336527
META PLATFORMS INC,1.5693268255065709,Add 698.49%,2023153.0,563.2850036551857,1139611745.0,,549.9000244140625,-2.37623568074197,519.7782492802263,788.2165669565625
INTEL CORP,1.4078584778221581,Reduce 1.05%,7321928.0,139.62946193953286,1022356867.0,,90.06999969482422,-35.493556700927904,23.649999618530273,142.35000610351562
UNITED THERAPEUTICS CORP DEL,1.2749561875504816,Reduce 4.38%,1708739.0,541.8299997834661,925846052.0,,,,,
PALANTIR TECHNOLOGIES INC,1.2159564911460758,Add 8.34%,7568370.0,116.67000001321288,883001728.0,,179.94000244140625,54.2298812214177,106.37000274658203,207.52000427246094
EXELIXIS INC,1.0061119654698627,Reduce 2.18%,13427993.0,54.40999999031873,730617099.0,,54.08000183105469,-0.606502773980446,33.7599983215332,57.56999969482422
VERISIGN INC,0.8486401160593724,Reduce 13.07%,2449771.0,251.56000009796833,616264393.0,,281.79998779296875,12.020984132303889,206.92641987527824,311.5654035322969
KINROSS GOLD CORP,0.8049384471212321,Reduce 3.13%,24747213.0,23.619999997575484,584529171.0,,32.7599983215332,38.69601322987261,19.114198869927307,38.95551296551527
CROWDSTRIKE HLDGS INC,0.7870808087086895,Buy 100%,748960.0,763.139999465926,571561334.0,,,,,
STERLING INFRASTRUCTURE INC,0.7769612915702211,Reduce 12.35%,672194.0,839.3600002380265,564212756.0,,516.8099975585938,-38.42808837542457,266.1300048828125,1005.6799926757812
AMAZON COM INC,0.7518465636055545,Buy 100%,2290710.0,238.34312287456729,545974975.0,,258.6300048828125,8.511628849858438,196.0,287.20001220703125
