Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
PALANTIR TECHNOLOGIES INC,66.03687160073919,Buy 100%,5000000.0,182.42,912100000.0,,179.94000244140625,-1.3594987164750234,106.37000274658203,207.52000427246094
NVIDIA CORPORATION,13.508562112998485,Buy 100%,1000000.0,186.58,186580000.0,,214.72000122070312,15.082003012489608,163.85179338392152,236.26463268418732
PFIZER INC,11.068651387261271,Buy 100%,6000000.0,25.48,152880000.0,,28.06999969482422,10.164833967128015,22.034658835373435,28.440000534057617
HALLIBURTON CO,4.452656072191053,Buy 100%,2500000.0,24.6,61500000.0,,35.34000015258789,43.65853720564182,20.914754437389924,43.40534385121132
MOLINA HEALTHCARE INC,1.7318298088912192,Buy 100%,125000.0,191.36,23920000.0,,200.2899932861328,4.666593481465718,121.05999755859375,244.88999938964844
LULULEMON ATHLETICA INC,1.288229422642202,Reduce 77.78%,100000.0,177.93,17793000.0,,121.06999969482422,-31.956387514851787,104.44000244140625,225.97999572753906
SLM CORP,0.9620557131445063,Buy 100%,480054.0,27.680000583267717,13287895.0,,26.459999084472656,-4.407519772714669,17.54623391365214,31.48024281268254
BRUKER CORP,0.9511438821320802,Reduce 80.67%,48334.0,271.799995862126,13137181.0,,59.560001373291016,-78.0868277115414,28.38933872671557,65.30000305175781
