Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
APPLE INC,22.038266729497398,,227917808.0,289.3600000005265,65950296923.0,,309.3500061035156,6.908351570000261,223.8630424721864,344.2730974331505
AMERICAN EXPRESS CO,17.136745146261052,,151610700.0,338.25,51282319275.0,,336.0,-0.6651884700665188,289.2612224526533,384.36057542335186
ALPHABET INC,12.619428439458947,Add 83.24%,105979600.0,356.3335621478096,37764088383.0,,341.75,-4.0926715013614725,201.55445158058532,404.2267181336527
COCA COLA CO,10.863028799990918,,400000000.0,81.27,32508000000.0,,91.0999984741211,12.095482310964806,64.03758462860179,91.87000274658203
BANK OF AMER CORP,9.204164963158451,Buy 100%,483394015.0,56.98000000062061,27543790975.0,,61.689998626708984,8.266055854750915,45.88160689443775,65.2300033569336
CHEVRON CORPORATION,4.673676084404744,,84375856.0,165.75999999336304,13986141890.0,,205.27000427246094,23.835668605622505,142.51048093881724,210.92053767232753
OCCIDENTAL PETE CORP,4.300101046559243,,264941431.0,48.57000000124556,12868205304.0,,,,,
CHUBB LIMITED,3.8997252902841617,Buy 100%,34249183.0,340.73999998773695,11670066615.0,,340.989990234375,0.07336686231350768,263.6963304791489,365.9100036621094
MOODYS CORP,3.7337687786122506,,24669778.0,452.9200000097285,11173435852.0,,503.32000732421875,11.127794602448049,399.6123815354206,543.2534871990895
KRAFT HEINZ CO,2.5702265655540755,,325634818.0,23.619999999508654,7691494401.0,,25.579999923706055,8.298052177130284,20.660545227491788,28.09000015258789
DAVITA INC,2.1470985937818354,Reduce 4.05%,28880209.0,222.47999998891976,6425268898.0,,173.82000732421875,-21.871625614493183,101.0,247.49000549316406
DELTA AIR LINES INC,1.7939941190161746,Add 43.99%,57320000.0,93.66,5368591200.0,,82.41000366210938,-12.011527159823428,54.60085098050906,95.44433663676071
SIRIUSXM HOLDINGS INC,1.231999473372768,,124807117.0,29.54000000657014,3686802237.0,,28.690000534057617,-2.8774525129433624,19.150934192348085,32.36517468517835
VERISIGN INC,0.7557117249898107,,8989880.0,251.55999991101106,2261494212.0,,281.79998779296875,12.020984215556938,206.92641987527824,311.5654035322969
KROGER CO,0.7236906478797936,Reduce 22.00%,39000000.0,55.53,2165670000.0,,57.900001525878906,4.267966010947065,53.78099277918663,75.65956778646577
LIBERTY LIVE HOLDINGS INC,0.5424723128989378,,15573731.0,104.2375579750286,1623367688.0,,101.69999694824219,-2.4344018375740446,74.37999725341797,106.05500030517578
ALLY FINL INC,0.4145815393352016,Reduce 6.90%,27000000.0,45.95,1240650000.0,,,,,
LENNAR CORP,0.4053176233611468,Add 29.72%,13409858.0,90.45042848328445,1212927402.0,,87.0199966430664,-3.7926098281026985,79.83000183105469,141.39296243213084
NEW YORK TIMES CO MTN BE,0.36714216993191895,Add 3.65%,15700000.0,69.98,1098686000.0,,,,,
CAPITAL ONE FINL CORP,0.2011204169300644,Reduce 58.04%,3000000.0,200.62,601860000.0,,,,,
LOUISIANA PAC CORP,0.14890136063536122,,5664793.0,78.65999993291899,445592617.0,,73.18000030517578,-6.966691625243501,65.85245262713643,99.70923493493207
NUCOR CORP,0.13828215216257142,Reduce 52.45%,1857752.0,222.75,413814258.0,,243.6300048828125,9.373739565796857,130.1093889040497,280.1099853515625
MACYS INC,0.05782116148279285,Add 141.82%,7347426.0,23.549999959169373,173031882.0,,22.81999969482422,-3.099788813634044,12.467444841247485,26.59000015258789
NVR INC,0.02529978321720011,,11112.0,6813.4000179985605,75710501.0,,6358.509765625,-6.67640606997833,5501.009765625,8618.2802734375
JEFFERIES FINANCIAL GROUP IN,0.0072410932293773345,,433558.0,49.98000036903944,21669229.0,,,,,
D R HORTON INC,0.0001939839938018312,Buy 100%,3564.0,162.87991021324353,580504.0,,148.35000610351562,-8.920623845325833,130.96226229208295,182.36112320257425
